Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,class
Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2600,1700.0,107.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,Yes,5500,0.0,105.0,360.0,0.0,Rural,0
Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3246,1417.0,138.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3400,2500.0,173.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,3180,0.0,71.0,360.0,0.0,Urban,0
Male,Yes,2,Graduate,Yes,2726,0.0,106.0,360.0,0.0,Semiurban,0
Male,Yes,3,Graduate,No,81000,0.0,360.0,360.0,0.0,Rural,0
Female,No,0,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,0
Male,Yes,3,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,1
Male,No,0,Graduate,No,6000,0.0,140.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,0
Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,4106,0.0,40.0,180.0,1.0,Rural,1
Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,1
Male,Yes,3,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,3660,5064.0,187.0,360.0,1.0,Semiurban,1
Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,1
Male,Yes,3,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,1
Female,No,0,Not Graduate,No,1963,0.0,53.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,0
Male,Yes,3,Graduate,No,3400,2500.0,123.0,360.0,0.0,Rural,0
Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3597,2157.0,119.0,360.0,0.0,Rural,0
Male,No,0,Graduate,No,3069,0.0,71.0,480.0,1.0,Urban,0
Male,No,1,Not Graduate,No,2679,1302.0,94.0,360.0,1.0,Semiurban,1
Female,Yes,0,Not Graduate,Yes,7142,0.0,138.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,No,3902,1666.0,109.0,360.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,0
Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,0
Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,8334,0.0,160.0,360.0,1.0,Semiurban,0
Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,Yes,16667,2250.0,86.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2297,1522.0,104.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1820,1719.0,100.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,1
Male,Yes,2,Not Graduate,Yes,6383,1000.0,187.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,1
Female,No,0,Graduate,Yes,4583,0.0,133.0,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,Yes,3466,1210.0,130.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,3887,2669.0,162.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,1
